;year;nr;name;land;str_cl;cars_r1;cars_r2;trucks_r1;trucks_r2
97;2016;5003;AK Leverkusen (N);NW;A;;;;
98;2016;5676;AK Leverkusen (S);NW;A;80767;71896;9966;9177
99;2016;9040;AK Nürnberg (O);BY;A;22076;23070;4826;4643
100;2016;9039;AK Nürnberg (W);BY;A;54533;51009;9593;9163
101;2016;5025;AK OB-West (Hauptfahrb.);NW;A;50328;64483;7335;8731
102;2016;5665;AK OB-West (N);NW;A;68320;72832;9962;11161
103;2016;5667;AK OB-West (S);NW;A;68312;72165;9505;9457
104;2016;9080;AK Regensburg (O);BY;A;39985;38522;7430;6785
105;2016;9074;AK Regensburg (W);BY;A;29175;28880;5030;5250
106;2016;9505;AS Aschaffenburg (W);BY;A;;;;
107;2016;9508;AS Bessenbach-Waldaschaff;BY;A;;;;
108;2016;7781;AS Dierdorf VQ Nord;RP;A;36713;37041;5570;5664
109;2016;9519;AS Erlangen-Tennenlohe;BY;A;48088;49518;8325;9077
110;2016;9518;AS Erlangen-West;BY;A;34893;36043;6840;7255
111;2016;9515;AS Geiselwind;BY;A;31045;32080;7237;7457
112;2016;9507;AS Goldbach;BY;A;46063;46336;6872;7095
113;2016;9517;AS Höchstadt-Ost;BY;A;34478;35589;6776;7031
114;2016;9510;AS Marktheidenfeld;BY;A;;;;
115;2016;9520;AS Nürnberg-Nord;BY;A;50214;51761;8508;8936
116;2016;9521;AS Nürnberg/Behringersd.;BY;A;50490;52065;8026;8405
117;2016;9624;AS Oberölsbach;BY;A;;;;
118;2016;7779;AS Ransbach-Baumb. VQ Süd;RP;A;41265;42016;;
119;2016;9516;AS Schlüsselfeld;BY;A;31649;32582;7160;7628
120;2016;9511;AS Wertheim/Lengfurt;BY;A;30196;31028;6111;6461
121;2016;9513;AS Würzburg-Heidingsfeld;BY;A;;;;
122;2016;9506;AS-Aschaffenburg;BY;A;40127;37538;;
123;2016;9512;AS-Würzburg-Randersacker;BY;A;34052;35427;7505;7852
124;2016;9628;Aicha vorm Wald;BY;A;22059;23123;4895;5174
125;2016;7121;Ammerich;RP;A;39259;39778;5701;5734
126;2016;5006;Bad Honnef/Linz;NW;A;38395;38264;5138;5313
127;2016;7783;Birken;RP;A;39128;39601;5809;5723
128;2016;5002;Breitscheid;NW;A;54978;58968;5187;5918
129;2016;5071;Elten;NW;A;17251;17963;2317;2432
130;2016;6846;Elzer Berg;HE;A;45009;44432;7640;7309
131;2016;6856;Frankfurter Kreuz (W);HE;A;61266;68962;8927;9113
132;2016;9041;Geiselwind (W);BY;A;31097;32184;6863;7392
133;2016;7144;Girod;RP;A;43905;44688;7744;7684
134;2016;9727;Goldbach (W);BY;A;44744;45910;6962;7873
135;2016;6859;Hanau;HE;A;61235;61779;10342;8707
136;2016;6807;Hanau (S);HE;A;39060;38742;6693;7077
137;2016;9010;Hösbach (O);BY;A;35215;35891;6349;6919
138;2016;5001;Hünxe;NW;A;30026;30836;3453;3732
139;2016;6849;Idstein;HE;A;46108;47353;6848;7058
140;2016;9027;Kitzingen/Schwarzach (O);BY;A;32385;31152;7241;6727
141;2016;5004;Leverkusen;NW;A;;;;
142;2016;6848;Lindenholzhausen;HE;A;44601;46252;6721;6978
143;2016;6851;Medenbach;HE;A;50655;52696;7037;7151
144;2016;9051;Neumarkt/Opf. (S);BY;A;19156;18943;5150;4742
145;2016;9081;Nittendorf (W);BY;A;20897;21435;4600;4710
146;2016;5070;Oberhausen-Holten;NW;A;63433;65046;9816;10182
147;2016;5033;Opladen II;NW;A;57646;58908;4900;5093
148;2016;9085;Pocking (O);BY;A;14497;15701;4382;4735
149;2016;9252;Pommersfelden (O);BY;A;33207;32295;6973;6593
150;2016;9251;Pommersfelden (W);BY;A;33661;32841;7276;7032
151;2016;7070;Rasthaus Sessenhausen;RP;A;35884;35733;5327;5318
152;2016;9076;Regensburg-Ost (O);BY;A;33038;33840;5889;5719
153;2016;9009;Regensburg-Ost (W);BY;A;35649;37768;6319;6841
154;2016;9991;Rohrbrunn (O);BY;A;27648;28629;5969;6271
155;2016;9077;Rosenhof (W);BY;A;28087;29531;5451;5888
156;2016;9627;Schlüsselfeld;BY;A;31194;32199;;
157;2016;5005;Siegburg;NW;A;39757;40670;5358;5356
158;2016;6852;Weilbach;HE;A;52061;53160;7087;7060
159;2016;9159;Würzburg-Kist;BY;A;42757;40337;8772;8213
160;2016;5072;AC-Vetschau;NW;A;17811;17739;3198;3053
161;2016;4121;AD Dresden-Nord (O);SN;A;31111;29912;5629;5127
162;2016;4120;AD Dresden-Nord (W);SN;A;48912;48295;7665;7305
163;2016;5021;AD Heumar (W);NW;A;46947;49060;7404;7192
164;2016;5651;AK Aachen (O);NW;A;37911;37118;6105;5945
165;2016;5654;AK Aachen (W);NW;A;;;;
166;2016;4352;AK Erfurt/Ost;TH;A;29841;29642;5054;4899
167;2016;4351;AK Erfurt/West;TH;A;29550;29160;5380;5187
168;2016;5624;AK Kerpen (O);NW;A;49764;49250;6149;6127
